CTD,20200428CCHSIOLM
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and fluorescence are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data in the CTD files should be considered:,,,,,,,,,,,,,,,,
#± 0.5 ml/l from 0 to 75 dbar.,,,,,,,,,,,,,,,,
#± 0.8 ml/l from 75 to 300 dbar; data tend to be somewhat high in this high gradient region.,,,,,,,,,,,,,,,,
#± 0.25 ml/l below 300 dbar.,,,,,,,,,,,,,,,,
#Data below 800 dbar tend to be low.,,,,,,,,,,,,,,,,
#Data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2007-13-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = TESTING
STNBR = PIE93
CASTNO = 1
DATE = 20070610
TIME = 1152
LATITUDE = 46.999
LONGITUDE = -144.66983
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,/METER,,MG/M^3,,UE/m^2/sec,
       3.2,2,    8.0304,2,   32.5341,2,     304.3,2,      46.2,2,     0.726,2,      -999,9
       4.0,2,      8.03,2,   32.5342,2,     304.9,2,      53.7,2,     0.733,2,      -999,9
       5.0,2,    8.0299,2,   32.5343,2,       305,2,      54.3,2,     0.726,2,      -999,9
       5.9,2,    8.0299,2,   32.5342,2,     305.2,2,      54.7,2,     0.715,2,      -999,9
       7.0,2,    8.0292,2,   32.5342,2,     305.1,2,      54.9,2,     0.704,2,      -999,9
       8.0,2,    8.0284,2,   32.5343,2,       305,2,      55.3,2,     0.704,2,      -999,9
       9.0,2,    8.0288,2,   32.5343,2,     304.8,2,      55.3,2,     0.726,2,      -999,9
      10.0,2,    8.0288,2,   32.5344,2,     304.8,2,      55.4,2,      0.72,2,      -999,9
      11.0,2,     8.029,2,   32.5344,2,     304.8,2,      55.4,2,     0.756,2,      -999,9
      12.0,2,    8.0296,2,   32.5342,2,     304.9,2,      55.3,2,      0.73,2,      -999,9
      13.0,2,    8.0294,2,   32.5343,2,     304.9,2,      55.3,2,     0.746,2,      -999,9
      14.1,2,    8.0293,2,   32.5344,2,     304.9,2,      55.2,2,      0.75,2,      -999,9
      15.0,2,    8.0291,2,   32.5345,2,     304.7,2,      55.4,2,      0.76,2,      -999,9
      16.0,2,    8.0282,2,   32.5345,2,     304.9,2,      55.3,2,     0.715,2,      -999,9
      17.0,2,    8.0287,2,   32.5344,2,     305.1,2,      55.3,2,     0.727,2,      -999,9
      18.0,2,    8.0313,2,   32.5344,2,     305.1,2,      55.2,2,     0.745,2,      -999,9
      19.0,2,    8.0327,2,   32.5342,2,       305,2,      55.3,2,     0.725,2,      -999,9
      20.0,2,    8.0322,2,   32.5341,2,       305,2,      55.3,2,     0.724,2,      -999,9
      21.0,2,    8.0316,2,    32.534,2,       305,2,      55.4,2,     0.728,2,      -999,9
